Month,Zipcode,Crime rate per 1000
03/2020,85924,0.45
03/2020,85925,0.45
03/2020,85927,0.45
03/2020,85930,0.45
03/2020,85932,0.45
03/2020,85936,0.45
03/2020,85938,0.45
03/2020,85940,0.45
03/2020,86028,0.45
03/2020,86502,0.45
03/2020,86503,0.45
03/2020,86504,0.45
03/2020,86505,0.45
03/2020,86506,0.45
03/2020,86507,0.45
03/2020,86508,0.45
03/2020,86511,0.45
03/2020,86512,0.45
03/2020,86514,0.45
03/2020,86515,0.45
03/2020,86535,0.45
03/2020,86538,0.45
03/2020,86540,0.45
03/2020,86544,0.45
03/2020,86545,0.45
03/2020,86547,0.45
03/2020,86556,0.45
04/2020,04001,N/A
04/2020,85920,N/A
04/2020,85924,N/A
04/2020,85925,N/A
04/2020,85927,N/A
04/2020,85930,N/A
04/2020,85932,N/A
04/2020,85936,N/A
04/2020,85938,N/A
04/2020,85940,N/A
04/2020,86028,N/A
04/2020,86502,N/A
04/2020,86503,N/A
04/2020,86504,N/A
04/2020,86505,N/A
04/2020,86506,N/A
04/2020,86507,N/A
04/2020,86508,N/A
04/2020,86511,N/A
04/2020,86512,N/A
04/2020,86514,N/A
04/2020,86515,N/A
04/2020,86535,N/A
04/2020,86538,N/A
04/2020,86540,N/A
04/2020,86544,N/A
04/2020,86545,N/A
04/2020,86547,N/A
04/2020,86556,N/A
05/2020,04001,N/A
05/2020,85920,N/A
05/2020,85924,N/A
05/2020,85925,N/A
05/2020,85927,N/A
05/2020,85930,N/A
05/2020,85932,N/A
05/2020,85936,N/A
05/2020,85938,N/A
05/2020,85940,N/A
05/2020,86028,N/A
05/2020,86502,N/A
05/2020,86503,N/A
05/2020,86504,N/A
05/2020,86505,N/A
05/2020,86506,N/A
05/2020,86507,N/A
05/2020,86508,N/A
05/2020,86511,N/A
05/2020,86512,N/A
05/2020,86514,N/A
05/2020,86515,N/A
05/2020,86535,N/A
05/2020,86538,N/A
05/2020,86540,N/A
05/2020,86544,N/A
05/2020,86545,N/A
05/2020,86547,N/A
05/2020,86556,N/A
06/2020,04001,N/A
06/2020,85920,N/A
06/2020,85924,N/A
06/2020,85925,N/A
06/2020,85927,N/A
06/2020,85930,N/A
06/2020,85932,N/A
06/2020,85936,N/A
06/2020,85938,N/A
06/2020,85940,N/A
06/2020,86028,N/A
06/2020,86502,N/A
06/2020,86503,N/A
06/2020,86504,N/A
06/2020,86505,N/A
06/2020,86506,N/A
06/2020,86507,N/A
06/2020,86508,N/A
06/2020,86511,N/A
06/2020,86512,N/A
06/2020,86514,N/A
06/2020,86515,N/A
06/2020,86535,N/A
06/2020,86538,N/A
06/2020,86540,N/A
06/2020,86544,N/A
06/2020,86545,N/A
06/2020,86547,N/A
06/2020,86556,N/A
07/2020,04001,N/A
07/2020,85920,N/A
07/2020,85924,N/A
07/2020,85925,N/A
07/2020,85927,N/A
07/2020,85930,N/A
07/2020,85932,N/A
07/2020,85936,N/A
07/2020,85938,N/A
07/2020,85940,N/A
07/2020,86028,N/A
07/2020,86502,N/A
07/2020,86503,N/A
07/2020,86504,N/A
07/2020,86505,N/A
07/2020,86506,N/A
07/2020,86507,N/A
07/2020,86508,N/A
07/2020,86511,N/A
07/2020,86512,N/A
07/2020,86514,N/A
07/2020,86515,N/A
07/2020,86535,N/A
07/2020,86538,N/A
07/2020,86540,N/A
07/2020,86544,N/A
07/2020,86545,N/A
07/2020,86547,N/A
07/2020,86556,N/A
08/2020,04001,N/A
08/2020,85920,N/A
08/2020,85924,N/A
08/2020,85925,N/A
08/2020,85927,N/A
08/2020,85930,N/A
08/2020,85932,N/A
08/2020,85936,N/A
08/2020,85938,N/A
08/2020,85940,N/A
08/2020,86028,N/A
08/2020,86502,N/A
08/2020,86503,N/A
08/2020,86504,N/A
08/2020,86505,N/A
08/2020,86506,N/A
08/2020,86507,N/A
08/2020,86508,N/A
08/2020,86511,N/A
08/2020,86512,N/A
08/2020,86514,N/A
08/2020,86515,N/A
08/2020,86535,N/A
08/2020,86538,N/A
08/2020,86540,N/A
08/2020,86544,N/A
08/2020,86545,N/A
08/2020,86547,N/A
08/2020,86556,N/A
09/2020,04001,N/A
09/2020,85920,N/A
09/2020,85924,N/A
09/2020,85925,N/A
09/2020,85927,N/A
09/2020,85930,N/A
09/2020,85932,N/A
09/2020,85936,N/A
09/2020,85938,N/A
09/2020,85940,N/A
09/2020,86028,N/A
09/2020,86502,N/A
09/2020,86503,N/A
09/2020,86504,N/A
09/2020,86505,N/A
09/2020,86506,N/A
09/2020,86507,N/A
09/2020,86508,N/A
09/2020,86511,N/A
09/2020,86512,N/A
09/2020,86514,N/A
09/2020,86515,N/A
09/2020,86535,N/A
09/2020,86538,N/A
09/2020,86540,N/A
09/2020,86544,N/A
09/2020,86545,N/A
09/2020,86547,N/A
09/2020,86556,N/A
10/2020,04001,N/A
10/2020,85920,N/A
10/2020,85924,N/A
10/2020,85925,N/A
10/2020,85927,N/A
10/2020,85930,N/A
10/2020,85932,N/A
10/2020,85936,N/A
10/2020,85938,N/A
10/2020,85940,N/A
10/2020,86028,N/A
10/2020,86502,N/A
10/2020,86503,N/A
10/2020,86504,N/A
10/2020,86505,N/A
10/2020,86506,N/A
10/2020,86507,N/A
10/2020,86508,N/A
10/2020,86511,N/A
10/2020,86512,N/A
10/2020,86514,N/A
10/2020,86515,N/A
10/2020,86535,N/A
10/2020,86538,N/A
10/2020,86540,N/A
10/2020,86544,N/A
10/2020,86545,N/A
10/2020,86547,N/A
10/2020,86556,N/A
11/2020,04001,N/A
11/2020,85920,N/A
11/2020,85924,N/A
11/2020,85925,N/A
11/2020,85927,N/A
11/2020,85930,N/A
11/2020,85932,N/A
11/2020,85936,N/A
11/2020,85938,N/A
11/2020,85940,N/A
11/2020,86028,N/A
11/2020,86502,N/A
11/2020,86503,N/A
11/2020,86504,N/A
11/2020,86505,N/A
11/2020,86506,N/A
11/2020,86507,N/A
11/2020,86508,N/A
11/2020,86511,N/A
11/2020,86512,N/A
11/2020,86514,N/A
11/2020,86515,N/A
11/2020,86535,N/A
11/2020,86538,N/A
11/2020,86540,N/A
11/2020,86544,N/A
11/2020,86545,N/A
11/2020,86547,N/A
11/2020,86556,N/A
12/2020,04001,N/A
12/2020,85920,N/A
12/2020,85924,N/A
12/2020,85925,N/A
12/2020,85927,N/A
12/2020,85930,N/A
12/2020,85932,N/A
12/2020,85936,N/A
12/2020,85938,N/A
12/2020,85940,N/A
12/2020,86028,N/A
12/2020,86502,N/A
12/2020,86503,N/A
12/2020,86504,N/A
12/2020,86505,N/A
12/2020,86506,N/A
12/2020,86507,N/A
12/2020,86508,N/A
12/2020,86511,N/A
12/2020,86512,N/A
12/2020,86514,N/A
12/2020,86515,N/A
12/2020,86535,N/A
12/2020,86538,N/A
12/2020,86540,N/A
12/2020,86544,N/A
12/2020,86545,N/A
12/2020,86547,N/A
12/2020,86556,N/A
01/2021,04001,0.0
01/2021,85920,0.0
01/2021,85924,0.0
01/2021,85925,0.0
01/2021,85927,0.0
01/2021,85930,0.0
01/2021,85932,0.0
01/2021,85936,0.0
01/2021,85938,0.0
01/2021,85940,0.0
01/2021,86028,0.0
01/2021,86502,0.0
01/2021,86503,0.0
01/2021,86504,0.0
01/2021,86505,0.0
01/2021,86506,0.0
01/2021,86507,0.0
01/2021,86508,0.0
01/2021,86511,0.0
01/2021,86512,0.0
01/2021,86514,0.0
01/2021,86515,0.0
01/2021,86535,0.0
01/2021,86538,0.0
01/2021,86540,0.0
01/2021,86544,0.0
01/2021,86545,0.0
01/2021,86547,0.0
01/2021,86556,0.0
02/2021,04001,0.29
02/2021,85920,0.29
02/2021,85924,0.29
02/2021,85925,0.29
02/2021,85927,0.29
02/2021,85930,0.29
02/2021,85932,0.29
02/2021,85936,0.29
02/2021,85938,0.29
02/2021,85940,0.29
02/2021,86028,0.29
02/2021,86502,0.29
02/2021,86503,0.29
02/2021,86504,0.29
02/2021,86505,0.29
02/2021,86506,0.29
02/2021,86507,0.29
02/2021,86508,0.29
02/2021,86511,0.29
02/2021,86512,0.29
02/2021,86514,0.29
02/2021,86515,0.29
02/2021,86535,0.29
02/2021,86538,0.29
02/2021,86540,0.29
02/2021,86544,0.29
02/2021,86545,0.29
02/2021,86547,0.29
02/2021,86556,0.29
03/2021,04001,0.43
03/2021,85920,0.43
03/2021,85924,0.43
03/2021,85925,0.43
03/2021,85927,0.43
03/2021,85930,0.43
03/2021,85932,0.43
03/2021,85936,0.43
03/2021,85938,0.43
03/2021,85940,0.43
03/2021,86028,0.43
03/2021,86502,0.43
03/2021,86503,0.43
03/2021,86504,0.43
03/2021,86505,0.43
03/2021,86506,0.43
03/2021,86507,0.43
03/2021,86508,0.43
03/2021,86511,0.43
03/2021,86512,0.43
03/2021,86514,0.43
03/2021,86515,0.43
03/2021,86535,0.43
03/2021,86538,0.43
03/2021,86540,0.43
03/2021,86544,0.43
03/2021,86545,0.43
03/2021,86547,0.43
03/2021,86556,0.43
04/2021,04001,0.4
04/2021,85920,0.4
04/2021,85924,0.4
04/2021,85925,0.4
04/2021,85927,0.4
04/2021,85930,0.4
04/2021,85932,0.4
04/2021,85936,0.4
04/2021,85938,0.4
04/2021,85940,0.4
04/2021,86028,0.4
04/2021,86502,0.4
04/2021,86503,0.4
04/2021,86504,0.4
04/2021,86505,0.4
04/2021,86506,0.4
04/2021,86507,0.4
04/2021,86508,0.4
04/2021,86511,0.4
04/2021,86512,0.4
04/2021,86514,0.4
04/2021,86515,0.4
04/2021,86535,0.4
04/2021,86538,0.4
04/2021,86540,0.4
04/2021,86544,0.4
04/2021,86545,0.4
04/2021,86547,0.4
04/2021,86556,0.4
