Month,Zipcode,Crime rate per 1000
10/2019,85285,0.52
10/2019,85287,0.52
10/2019,85288,0.52
10/2019,85289,0.52
11/2019,85280,0.41
11/2019,85281,0.41
11/2019,85282,0.41
11/2019,85283,0.41
11/2019,85284,0.41
11/2019,85285,0.41
11/2019,85287,0.41
11/2019,85288,0.41
11/2019,85289,0.41
12/2019,85280,0.3
12/2019,85281,0.3
12/2019,85282,0.3
12/2019,85283,0.3
12/2019,85284,0.3
12/2019,85285,0.3
12/2019,85287,0.3
12/2019,85288,0.3
12/2019,85289,0.3
01/2020,85280,0.47
01/2020,85281,0.47
01/2020,85282,0.47
01/2020,85283,0.47
01/2020,85284,0.47
01/2020,85285,0.47
01/2020,85287,0.47
01/2020,85288,0.47
01/2020,85289,0.47
02/2020,85280,0.45
02/2020,85281,0.45
02/2020,85282,0.45
02/2020,85283,0.45
02/2020,85284,0.45
02/2020,85285,0.45
02/2020,85287,0.45
02/2020,85288,0.45
02/2020,85289,0.45
03/2020,85280,0.24
03/2020,85281,0.24
03/2020,85282,0.24
03/2020,85283,0.24
03/2020,85284,0.24
03/2020,85285,0.24
03/2020,85287,0.24
03/2020,85288,0.24
03/2020,85289,0.24
04/2020,85280,0.19
04/2020,85281,0.19
04/2020,85282,0.19
04/2020,85283,0.19
04/2020,85284,0.19
04/2020,85285,0.19
04/2020,85287,0.19
04/2020,85288,0.19
04/2020,85289,0.19
05/2020,85280,0.11
05/2020,85281,0.11
05/2020,85282,0.11
05/2020,85283,0.11
05/2020,85284,0.11
05/2020,85285,0.11
05/2020,85287,0.11
05/2020,85288,0.11
05/2020,85289,0.11
06/2020,85280,0.09
06/2020,85281,0.09
06/2020,85282,0.09
06/2020,85283,0.09
06/2020,85284,0.09
06/2020,85285,0.09
06/2020,85287,0.09
06/2020,85288,0.09
06/2020,85289,0.09
07/2020,85280,0.05
07/2020,85281,0.05
07/2020,85282,0.05
07/2020,85283,0.05
07/2020,85284,0.05
07/2020,85285,0.05
07/2020,85287,0.05
07/2020,85288,0.05
07/2020,85289,0.05
08/2020,85280,0.22
08/2020,85281,0.22
08/2020,85282,0.22
08/2020,85283,0.22
08/2020,85284,0.22
08/2020,85285,0.22
08/2020,85287,0.22
08/2020,85288,0.22
08/2020,85289,0.22
09/2020,85280,0.3
09/2020,85281,0.3
09/2020,85282,0.3
09/2020,85283,0.3
09/2020,85284,0.3
09/2020,85285,0.3
09/2020,85287,0.3
09/2020,85288,0.3
09/2020,85289,0.3
10/2020,85280,0.32
10/2020,85281,0.32
10/2020,85282,0.32
10/2020,85283,0.32
10/2020,85284,0.32
10/2020,85285,0.32
10/2020,85287,0.32
10/2020,85288,0.32
10/2020,85289,0.32
11/2020,85280,0.22
11/2020,85281,0.22
11/2020,85282,0.22
11/2020,85283,0.22
11/2020,85284,0.22
11/2020,85285,0.22
11/2020,85287,0.22
11/2020,85288,0.22
11/2020,85289,0.22
12/2020,85280,0.13
12/2020,85281,0.13
12/2020,85282,0.13
12/2020,85283,0.13
12/2020,85284,0.13
12/2020,85285,0.13
12/2020,85287,0.13
12/2020,85288,0.13
12/2020,85289,0.13
01/2021,85280,0.22
01/2021,85281,0.22
01/2021,85282,0.22
01/2021,85283,0.22
01/2021,85284,0.22
01/2021,85285,0.22
01/2021,85287,0.22
01/2021,85288,0.22
01/2021,85289,0.22
02/2021,85280,0.29
02/2021,85281,0.29
02/2021,85282,0.29
02/2021,85283,0.29
02/2021,85284,0.29
02/2021,85285,0.29
02/2021,85287,0.29
02/2021,85288,0.29
02/2021,85289,0.29
03/2021,85280,0.24
03/2021,85281,0.24
03/2021,85282,0.24
03/2021,85283,0.24
03/2021,85284,0.24
03/2021,85285,0.24
03/2021,85287,0.24
03/2021,85288,0.24
03/2021,85289,0.24
04/2021,85280,0.22
04/2021,85281,0.22
04/2021,85282,0.22
04/2021,85283,0.22
04/2021,85284,0.22
04/2021,85285,0.22
04/2021,85287,0.22
04/2021,85288,0.22
04/2021,85289,0.22
05/2021,85280,0.16
05/2021,85281,0.16
05/2021,85282,0.16
05/2021,85283,0.16
05/2021,85284,0.16
05/2021,85285,0.16
05/2021,85287,0.16
05/2021,85288,0.16
05/2021,85289,0.16
06/2021,85280,0.09
06/2021,85281,0.09
06/2021,85282,0.09
06/2021,85283,0.09
06/2021,85284,0.09
06/2021,85285,0.09
06/2021,85287,0.09
06/2021,85288,0.09
06/2021,85289,0.09
07/2021,85280,0.11
07/2021,85281,0.11
07/2021,85282,0.11
07/2021,85283,0.11
07/2021,85284,0.11
07/2021,85285,0.11
