Zipcode,Year,Crime rate per 1000
85313,2019,49.91
85313,2020,48.55
85313,2021,52.8
85313,2022,55.14
85313,2023,52.6
85318,2018,61.48
85318,2019,52.1
85318,2020,50.64
85318,2021,55.01
85318,2022,57.04
85318,2023,54.29
85320,2018,2.11
85320,2019,2.19
85320,2020,2.09
85320,2021,2.21
85320,2022,1.9
85320,2023,1.69
85321,2018,10.46
85321,2019,8.86
85321,2020,9.94
85321,2021,10.0
85321,2022,10.74
85321,2023,10.58
85322,2018,2.11
85322,2019,2.19
85322,2020,2.09
85322,2021,2.21
85322,2022,1.9
85322,2023,1.69
85323,2018,51.0
85323,2019,52.89
85323,2020,52.98
85323,2021,56.94
85323,2022,53.07
85323,2023,45.71
85324,2018,6.3
85324,2019,5.47
85324,2020,5.86
85324,2021,6.91
85324,2022,6.94
85324,2023,6.31
85326,2018,28.14
85326,2019,25.54
85326,2020,25.5
85326,2021,20.05
85326,2022,20.75
85326,2023,18.15
85327,2018,2.11
85327,2019,2.19
85327,2020,2.09
85327,2021,2.21
85327,2022,1.9
85327,2023,1.69
85329,2018,2.11
85329,2019,2.19
85329,2020,2.09
85329,2021,2.21
85329,2022,1.9
85329,2023,1.69
85331,2018,2.11
85331,2019,2.19
85331,2020,2.09
85331,2021,2.21
85331,2022,1.9
85331,2023,1.69
85332,2018,6.3
85332,2019,5.47
85332,2020,5.86
85332,2021,6.91
85332,2022,6.94
85332,2023,6.31
85333,2018,2.11
85333,2019,2.19
85333,2020,2.09
85333,2021,2.21
85333,2022,1.9
85333,2023,1.69
85335,2018,38.98
85335,2019,41.52
85335,2020,33.8
85335,2021,30.56
85335,2022,29.12
85335,2023,28.52
85336,2018,18.95
85336,2019,16.36
85336,2020,12.64
85336,2021,9.76
85336,2022,9.15
85336,2023,9.86
85337,2018,2.11
85337,2019,2.19
85337,2020,2.09
85337,2021,2.21
85337,2022,1.9
85337,2023,1.69
85338,2018,34.23
85338,2019,32.6
85338,2020,32.24
85338,2021,28.71
85338,2022,27.27
85338,2023,26.2
85339,2018,2.11
85339,2019,2.19
85339,2020,2.09
85339,2021,2.21
85339,2022,1.9
85339,2023,1.69
85340,2018,2.11
85340,2019,2.19
85340,2020,2.09
85340,2021,2.21
85340,2022,1.9
85340,2023,1.69
