2018,2019,2020,2021,2022,2023,zipcode
95567.0,99943.0,117250.0,133854.0,138276.0,147859.0,1516
64732.0,72470.0,72713.0,78673.0,102500.0,111193.0,1518
106644.0,109670.0,114226.0,128824.0,144452.0,153750.0,1519
105772.0,109529.0,116107.0,128245.0,141508.0,147582.0,1520
81680.0,82179.0,77054.0,82500.0,81250.0,86806.0,1521
101089.0,108036.0,104040.0,109867.0,116894.0,118824.0,1522
103857.0,93385.0,97394.0,109651.0,111506.0,130444.0,1523
71645.0,81042.0,80649.0,80702.0,88933.0,93191.0,1524
40888.0,40947.0,52750.0,N/A,N/A,N/A,1525
81804.0,85781.0,92556.0,96672.0,109119.0,116000.0,1527
78704.0,79129.0,79647.0,82131.0,95144.0,115789.0,1529
89167.0,91125.0,90489.0,86667.0,99318.0,99375.0,1531
113608.0,128613.0,140600.0,148010.0,160801.0,174358.0,1532
92181.0,102284.0,100819.0,115439.0,123370.0,134539.0,1534
73599.0,78750.0,73208.0,77313.0,80380.0,81010.0,1535
108175.0,109329.0,102756.0,89886.0,103793.0,105795.0,1536
76389.0,64975.0,76859.0,61514.0,67750.0,94261.0,1537
68750.0,77184.0,85813.0,110195.0,100757.0,118389.0,1540
134191.0,136083.0,129097.0,148438.0,163750.0,150577.0,1541
107806.0,106250.0,88750.0,88295.0,106719.0,107674.0,1542
104050.0,107928.0,124890.0,132000.0,150685.0,155504.0,1543
106108.0,105014.0,108870.0,117909.0,127088.0,136225.0,1545
50787.0,51270.0,52900.0,50414.0,55182.0,59397.0,1550
79583.0,88750.0,86146.0,89779.0,94464.0,98884.0,1560
71830.0,72821.0,70265.0,68559.0,76225.0,79086.0,1562
107348.0,121458.0,122810.0,119000.0,131058.0,136027.0,1564
100600.0,86731.0,105294.0,105417.0,122844.0,135802.0,1566
123942.0,128796.0,126442.0,141250.0,147198.0,161429.0,1568
101266.0,107740.0,109179.0,115304.0,124057.0,122458.0,1569
57924.0,62281.0,59844.0,64305.0,70644.0,68934.0,1570
67117.0,69071.0,69659.0,75465.0,87306.0,85179.0,1571
108767.0,112153.0,119148.0,118185.0,133145.0,134474.0,1581
79375.0,90688.0,91696.0,94464.0,97736.0,100427.0,1583
68578.0,63182.0,63295.0,71667.0,69767.0,70753.0,1585
75495.0,76250.0,80434.0,81438.0,88487.0,88735.0,1588
102439.0,104710.0,108971.0,123542.0,138750.0,155938.0,1590
61710.0,64942.0,71239.0,76287.0,86128.0,94351.0,1602
38701.0,42904.0,45969.0,53166.0,58797.0,63646.0,1603
53270.0,55665.0,59123.0,63107.0,68823.0,72911.0,1604
37857.0,40390.0,42683.0,45709.0,51360.0,54805.0,1605
66130.0,65708.0,72050.0,74765.0,82640.0,92537.0,1606
46974.0,39928.0,53838.0,57880.0,63718.0,66365.0,1607
24181.0,31384.0,31504.0,37962.0,41319.0,45962.0,1608
44943.0,45992.0,45679.0,49333.0,58246.0,61411.0,1609
34005.0,33695.0,33326.0,35642.0,39570.0,43757.0,1610
92898.0,98140.0,100375.0,103405.0,113276.0,118389.0,1611
99875.0,120469.0,116313.0,123958.0,130787.0,133750.0,1612
111169.0,111209.0,116971.0,120811.0,124532.0,127000.0,1701
57186.0,65154.0,67048.0,71602.0,76636.0,78784.0,1702
164402.0,170789.0,142813.0,173000.0,N/A,125972.0,1718
108207.0,115395.0,126597.0,136875.0,151207.0,151000.0,1719
137147.0,141265.0,138750.0,138220.0,151339.0,154101.0,1720
121406.0,124130.0,118348.0,115959.0,124311.0,127106.0,1721
129726.0,128354.0,133824.0,140647.0,143424.0,158286.0,1730
97305.0,107778.0,105625.0,105909.0,71250.0,101194.0,1731
155093.0,173024.0,167708.0,167132.0,191208.0,198475.0,1740
171625.0,195889.0,197530.0,216000.0,247656.0,250000.0,1741
141068.0,152240.0,160448.0,168934.0,183657.0,211435.0,1742
125139.0,127700.0,125000.0,148207.0,162350.0,180833.0,1745
125625.0,135340.0,137589.0,142339.0,149614.0,154684.0,1746
107550.0,108294.0,110582.0,113300.0,120750.0,115216.0,1747
166156.0,157353.0,172683.0,179192.0,191439.0,204418.0,1748
87806.0,91706.0,96038.0,94191.0,103086.0,107202.0,1749
79228.0,80943.0,83469.0,86230.0,94199.0,95047.0,1752
101324.0,105254.0,107891.0,112432.0,112524.0,119549.0,1754
132063.0,125945.0,126806.0,133850.0,135909.0,129837.0,1756
82260.0,83243.0,86203.0,89273.0,93100.0,92951.0,1757
109490.0,115446.0,115588.0,123109.0,133623.0,134644.0,1760
180769.0,198681.0,216406.0,218906.0,242688.0,247500.0,1770
147444.0,148409.0,163438.0,173056.0,188000.0,196680.0,1772
137222.0,140125.0,156607.0,172891.0,185288.0,197292.0,1773
145967.0,148235.0,143711.0,147841.0,166833.0,177862.0,1775
176570.0,191310.0,195073.0,217847.0,234427.0,234634.0,1776
174107.0,185906.0,192961.0,203125.0,207721.0,219531.0,1778
88671.0,90969.0,92084.0,95184.0,104780.0,107754.0,1801
105443.0,118721.0,121433.0,124755.0,134189.0,142421.0,1803
148125.0,151334.0,153315.0,155252.0,162694.0,167591.0,1810
103728.0,106141.0,116445.0,126146.0,138397.0,142564.0,1821
119387.0,126081.0,123087.0,130215.0,137778.0,141337.0,1824
88440.0,90000.0,92533.0,94882.0,102335.0,111451.0,1826
131250.0,135909.0,158523.0,177803.0,193583.0,202379.0,1827
62194.0,65224.0,62318.0,66052.0,72195.0,79784.0,1830
66106.0,66961.0,67016.0,70910.0,78151.0,81141.0,1832
128885.0,128466.0,122600.0,130240.0,148810.0,153565.0,1833
97109.0,103125.0,111056.0,121711.0,131952.0,135521.0,1834
75115.0,76538.0,84638.0,92880.0,102162.0,108275.0,1835
22092.0,24045.0,25077.0,28347.0,30696.0,34630.0,1840
40230.0,43411.0,45486.0,47527.0,51574.0,54525.0,1841
49443.0,56680.0,54283.0,61362.0,72630.0,72163.0,1843
74912.0,77484.0,83532.0,87181.0,93739.0,103292.0,1844
109371.0,108070.0,113916.0,120954.0,131852.0,134319.0,1845
48331.0,52827.0,55837.0,59571.0,66069.0,67581.0,1850
57029.0,60596.0,69548.0,72133.0,79330.0,87962.0,1851
54377.0,59037.0,65445.0,68256.0,76272.0,77058.0,1852
42293.0,53322.0,55461.0,58422.0,66645.0,70397.0,1854
83508.0,84609.0,79909.0,88832.0,100321.0,116477.0,1860
97234.0,96514.0,107964.0,106964.0,125159.0,131214.0,1862
88542.0,100672.0,112568.0,108427.0,128682.0,136284.0,1863
126818.0,128651.0,123042.0,123813.0,141442.0,150820.0,1864
