year,zip,median_income,crime_rate_per_1000,business_count,avg_house_price
2020,85042,66652.0,51.71,N/A,276164.21
2021,85042,71722.0,56.86,N/A,345932.23
2022,85042,78282.0,53.64,N/A,420011.25
2023,85042,86837.0,48.42,N/A,397594.06
2018,85043,50873.0,57.67,N/A,205476.7
2019,85043,52418.0,56.76,N/A,223217.1
2020,85043,55563.0,51.71,N/A,247659.77
2021,85043,57941.0,56.86,N/A,317188.55
2022,85043,66158.0,53.64,N/A,401255.38
2023,85043,70051.0,48.42,N/A,376445.34
2018,85044,73789.0,57.67,N/A,296408.14
2019,85044,76573.0,56.76,N/A,311878.25
2020,85044,79983.0,51.71,N/A,342543.11
2021,85044,84571.0,56.86,N/A,418232.32
2022,85044,92041.0,53.64,N/A,500057.0
2023,85044,96374.0,48.42,N/A,482653.64
2018,85045,138777.0,57.67,N/A,399028.26
2019,85045,141127.0,56.76,N/A,415461.48
2020,85045,130169.0,51.71,N/A,447999.97
2021,85045,141615.0,56.86,N/A,560178.49
2022,85045,152805.0,53.64,N/A,681834.15
2023,85045,154300.0,48.42,N/A,655885.15
2018,85046,N/A,57.67,N/A,N/A
2019,85046,N/A,56.76,N/A,N/A
2020,85046,N/A,51.71,N/A,N/A
2021,85046,N/A,56.86,N/A,N/A
2022,85046,N/A,53.64,N/A,N/A
2023,85046,N/A,48.42,N/A,N/A
2018,85048,102494.0,57.67,N/A,353511.47
2019,85048,104063.0,56.76,N/A,370283.44
2020,85048,102675.0,51.71,N/A,403691.82
2021,85048,102655.0,56.86,N/A,497049.45
2022,85048,115101.0,53.64,N/A,594925.86
2023,85048,123198.0,48.42,N/A,572059.55
2018,85050,89489.0,57.67,N/A,376959.98
2019,85050,94450.0,56.76,N/A,393203.88
2020,85050,99306.0,51.71,N/A,423962.91
2021,85050,113020.0,56.86,N/A,517683.86
2022,85050,133455.0,53.64,N/A,632967.28
2023,85050,137389.0,48.42,N/A,613090.22
2018,85051,42080.0,57.67,N/A,196897.28
2019,85051,43942.0,56.76,N/A,216398.47
2020,85051,46363.0,51.71,N/A,243443.55
2021,85051,47086.0,56.86,N/A,302962.81
2022,85051,57176.0,53.64,N/A,366059.52
2023,85051,63665.0,48.42,N/A,347645.24
2018,85053,53142.0,57.67,N/A,226642.45
2019,85053,55865.0,56.76,N/A,243585.36
2020,85053,53500.0,51.71,N/A,270336.75
2021,85053,56495.0,56.86,N/A,335298.02
2022,85053,65933.0,53.64,N/A,403850.41
2023,85053,66870.0,48.42,N/A,383514.79
2018,85054,88867.0,57.67,N/A,433611.79
2019,85054,86951.0,56.76,N/A,447918.56
2020,85054,87384.0,51.71,N/A,474766.46
2021,85054,90510.0,56.86,N/A,562708.01
2022,85054,85656.0,53.64,N/A,697169.61
2023,85054,89099.0,48.42,N/A,684743.06
2018,85055,N/A,55.56,N/A,N/A
2019,85055,N/A,54.57,N/A,N/A
2020,85055,N/A,49.62,N/A,N/A
2021,85055,N/A,54.65,N/A,N/A
2022,85055,N/A,51.74,N/A,N/A
2023,85055,N/A,46.73,N/A,N/A
2018,85060,N/A,57.67,N/A,N/A
2019,85060,N/A,56.76,N/A,N/A
2020,85060,N/A,51.71,N/A,N/A
2021,85060,N/A,56.86,N/A,N/A
2022,85060,N/A,53.64,N/A,N/A
2023,85060,N/A,48.42,N/A,N/A
2018,85061,N/A,57.67,N/A,N/A
2019,85061,N/A,56.76,N/A,N/A
