zipcode,2018,2019,2020,2021,2022,2023
01702,57186.0,65154.0,67048.0,71602.0,76636.0,78784.0
01718,164402.0,170789.0,142813.0,173000.0,,125972.0
01719,108207.0,115395.0,126597.0,136875.0,151207.0,151000.0
01720,137147.0,141265.0,138750.0,138220.0,151339.0,154101.0
01721,121406.0,124130.0,118348.0,115959.0,124311.0,127106.0
01730,129726.0,128354.0,133824.0,140647.0,143424.0,158286.0
01731,97305.0,107778.0,105625.0,105909.0,71250.0,101194.0
01740,155093.0,173024.0,167708.0,167132.0,191208.0,198475.0
01741,171625.0,195889.0,197530.0,216000.0,247656.0,250000.0
01742,141068.0,152240.0,160448.0,168934.0,183657.0,211435.0
01745,125139.0,127700.0,125000.0,148207.0,162350.0,180833.0
01746,125625.0,135340.0,137589.0,142339.0,149614.0,154684.0
01747,107550.0,108294.0,110582.0,113300.0,120750.0,115216.0
01748,166156.0,157353.0,172683.0,179192.0,191439.0,204418.0
01749,87806.0,91706.0,96038.0,94191.0,103086.0,107202.0
01752,79228.0,80943.0,83469.0,86230.0,94199.0,95047.0
01754,101324.0,105254.0,107891.0,112432.0,112524.0,119549.0
01756,132063.0,125945.0,126806.0,133850.0,135909.0,129837.0
01757,82260.0,83243.0,86203.0,89273.0,93100.0,92951.0
01760,109490.0,115446.0,115588.0,123109.0,133623.0,134644.0
01770,180769.0,198681.0,216406.0,218906.0,242688.0,247500.0
01772,147444.0,148409.0,163438.0,173056.0,188000.0,196680.0
01773,137222.0,140125.0,156607.0,172891.0,185288.0,197292.0
01775,145967.0,148235.0,143711.0,147841.0,166833.0,177862.0
01776,176570.0,191310.0,195073.0,217847.0,234427.0,234634.0
01778,174107.0,185906.0,192961.0,203125.0,207721.0,219531.0
01801,88671.0,90969.0,92084.0,95184.0,104780.0,107754.0
01803,105443.0,118721.0,121433.0,124755.0,134189.0,142421.0
01810,148125.0,151334.0,153315.0,155252.0,162694.0,167591.0
01821,103728.0,106141.0,116445.0,126146.0,138397.0,142564.0
01824,119387.0,126081.0,123087.0,130215.0,137778.0,141337.0
01826,88440.0,90000.0,92533.0,94882.0,102335.0,111451.0
01827,131250.0,135909.0,158523.0,177803.0,193583.0,202379.0
01830,62194.0,65224.0,62318.0,66052.0,72195.0,79784.0
01832,66106.0,66961.0,67016.0,70910.0,78151.0,81141.0
01833,128885.0,128466.0,122600.0,130240.0,148810.0,153565.0
01834,97109.0,103125.0,111056.0,121711.0,131952.0,135521.0
01835,75115.0,76538.0,84638.0,92880.0,102162.0,108275.0
01840,22092.0,24045.0,25077.0,28347.0,30696.0,34630.0
01841,40230.0,43411.0,45486.0,47527.0,51574.0,54525.0
01843,49443.0,56680.0,54283.0,61362.0,72630.0,72163.0
01844,74912.0,77484.0,83532.0,87181.0,93739.0,103292.0
01845,109371.0,108070.0,113916.0,120954.0,131852.0,134319.0
01850,48331.0,52827.0,55837.0,59571.0,66069.0,67581.0
01851,57029.0,60596.0,69548.0,72133.0,79330.0,87962.0
01852,54377.0,59037.0,65445.0,68256.0,76272.0,77058.0
01854,42293.0,53322.0,55461.0,58422.0,66645.0,70397.0
01860,83508.0,84609.0,79909.0,88832.0,100321.0,116477.0
01862,97234.0,96514.0,107964.0,106964.0,125159.0,131214.0
01863,88542.0,100672.0,112568.0,108427.0,128682.0,136284.0
01864,126818.0,128651.0,123042.0,123813.0,141442.0,150820.0
01867,112836.0,132948.0,131515.0,145471.0,154505.0,163407.0
01876,97853.0,102934.0,105480.0,112917.0,120891.0,126795.0
01879,109485.0,113489.0,114313.0,130509.0,140901.0,144167.0
01880,95954.0,100693.0,104609.0,110878.0,125707.0,130419.0
01886,141173.0,144917.0,149437.0,161076.0,174424.0,181523.0
01887,122813.0,125922.0,133873.0,146250.0,151034.0,161473.0
01890,159536.0,169623.0,173058.0,184844.0,208531.0,218176.0
01901,22788.0,24446.0,26403.0,24207.0,20699.0,27561.0
01902,43956.0,46224.0,52834.0,53802.0,59445.0,66755.0
01904,85309.0,81788.0,87639.0,94006.0,94809.0,100597.0
01905,60417.0,62927.0,62623.0,64885.0,74792.0,84341.0
01906,80253.0,88630.0,88348.0,93737.0,96064.0,100819.0
01907,113078.0,112761.0,100927.0,112668.0,116161.0,127714.0
01908,90741.0,97778.0,94243.0,99456.0,105867.0,111004.0
01913,80721.0,82468.0,81027.0,87433.0,91010.0,100599.0
01915,79483.0,80586.0,84354.0,89076.0,98474.0,102347.0
01921,174340.0,184007.0,179375.0,186899.0,203750.0,190526.0
01922,90489.0,128083.0,176250.0,193667.0,197583.0,179896.0
01923,84842.0,89250.0,99269.0,105654.0,116636.0,117072.0
01929,113469.0,106283.0,109323.0,115670.0,133026.0,151509.0
01930,65377.0,72574.0,76260.0,82984.0,84465.0,87898.0
01938,90557.0,93212.0,103941.0,111701.0,123266.0,124405.0
01940,119876.0,119602.0,136023.0,144116.0,157955.0,171044.0
01944,124025.0,148854.0,178250.0,193279.0,209052.0,197875.0
01945,115511.0,123333.0,131293.0,154049.0,163561.0,164325.0
01949,102604.0,125204.0,145525.0,155482.0,168245.0,171458.0
01950,103220.0,109839.0,110740.0,115807.0,127306.0,144259.0
01951,97083.0,95345.0,115719.0,122344.0,163077.0,175779.0
01952,78355.0,81626.0,81755.0,92048.0,97237.0,102521.0
01960,68214.0,73290.0,80679.0,83539.0,91032.0,95173.0
01965,,,,223570.0,241003.0,250000.0
01966,81681.0,85208.0,87149.0,88377.0,95091.0,93227.0
01969,114063.0,115909.0,118851.0,124196.0,135396.0,117177.0
01970,65495.0,68860.0,66495.0,72994.0,79267.0,85189.0
01982,133333.0,127813.0,115203.0,116955.0,139250.0,127137.0
01983,136812.0,136863.0,144258.0,155208.0,162734.0,176698.0
01984,109712.0,128056.0,142734.0,154375.0,181982.0,187652.0
01985,138403.0,149167.0,151500.0,164250.0,181125.0,189048.0
02019,99569.0,101477.0,103258.0,109042.0,116152.0,120966.0
